trial,timepoints,vdcc_c0,vdcc_c1,vdcc_c2,vdcc_c3,vdcc_o,ca_sum,ca
1000.0,9.112,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.113,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.114,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.115,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.116,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.117,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.118,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.119,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.120000000000001,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.121,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.122,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.123,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.124,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.125,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.126,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.127,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.128,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.129,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.13,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.131,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.132,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.133000000000001,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.134,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.135,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.136000000000001,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.137,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.138,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.139,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.14,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.141,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.142,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.143,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.144,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.145,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.146,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.147,55.0,10.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.148,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.149000000000001,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.15,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.151,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.152000000000001,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.153,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.154,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.155,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.156,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.157,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.158,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.159,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.16,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.161,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.162,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.163,57.0,8.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.164,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.165000000000001,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.166,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.167,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.168000000000001,56.0,9.0,0.0,0.0,0.0,9812.0,0.0
