trial,timepoints,h0m0,h0m1,h0m2,h1m0,h1m1,h1m2,h2m0,h2m1,h2m2,ca
1000.0,0.0031349999999999998,4867.0,4267.0,950.0,4417.0,3882.0,833.0,1024.0,848.0,191.0,84.0
1000.0,0.003136,4867.0,4267.0,950.0,4417.0,3882.0,833.0,1024.0,848.0,191.0,84.0
1000.0,0.003137,4867.0,4267.0,950.0,4417.0,3882.0,833.0,1024.0,848.0,191.0,84.0
1000.0,0.0031379999999999997,4867.0,4267.0,950.0,4417.0,3882.0,833.0,1024.0,848.0,191.0,84.0
1000.0,0.003139,4867.0,4267.0,950.0,4417.0,3882.0,833.0,1023.0,849.0,191.0,83.0
1000.0,0.00314,4867.0,4268.0,949.0,4417.0,3882.0,833.0,1023.0,848.0,192.0,83.0
1000.0,0.0031409999999999997,4867.0,4268.0,949.0,4416.0,3883.0,833.0,1023.0,848.0,192.0,82.0
1000.0,0.003142,4867.0,4268.0,949.0,4416.0,3882.0,833.0,1024.0,848.0,192.0,82.0
1000.0,0.003143,4865.0,4270.0,949.0,4416.0,3881.0,833.0,1024.0,849.0,192.0,79.0
1000.0,0.0031439999999999997,4865.0,4270.0,949.0,4416.0,3881.0,833.0,1024.0,849.0,192.0,79.0
1000.0,0.003145,4864.0,4271.0,949.0,4417.0,3880.0,833.0,1024.0,849.0,192.0,79.0
1000.0,0.003146,4864.0,4271.0,949.0,4417.0,3880.0,833.0,1024.0,849.0,192.0,79.0
1000.0,0.003147,4864.0,4271.0,949.0,4417.0,3880.0,833.0,1024.0,849.0,192.0,79.0
1000.0,0.0031479999999999998,4864.0,4271.0,949.0,4416.0,3881.0,833.0,1024.0,849.0,192.0,78.0
1000.0,0.003149,4864.0,4271.0,949.0,4416.0,3881.0,833.0,1024.0,849.0,192.0,78.0
1000.0,0.00315,4864.0,4271.0,949.0,4416.0,3881.0,833.0,1024.0,849.0,192.0,78.0
1000.0,0.0031509999999999997,4864.0,4271.0,949.0,4415.0,3882.0,833.0,1024.0,849.0,192.0,77.0
1000.0,0.003152,4865.0,4271.0,948.0,4415.0,3882.0,833.0,1024.0,849.0,192.0,79.0
1000.0,0.003153,4865.0,4271.0,947.0,4414.0,3884.0,833.0,1024.0,849.0,192.0,78.0
1000.0,0.0031539999999999997,4865.0,4270.0,948.0,4414.0,3884.0,833.0,1024.0,849.0,192.0,77.0
1000.0,0.003155,4865.0,4270.0,948.0,4414.0,3884.0,833.0,1024.0,849.0,192.0,77.0
1000.0,0.003156,4865.0,4270.0,948.0,4415.0,3883.0,833.0,1024.0,849.0,192.0,78.0
1000.0,0.0031569999999999997,4865.0,4271.0,947.0,4415.0,3883.0,833.0,1024.0,849.0,192.0,79.0
1000.0,0.0031579999999999998,4865.0,4271.0,947.0,4416.0,3882.0,833.0,1023.0,850.0,192.0,79.0
1000.0,0.003159,4865.0,4271.0,947.0,4416.0,3882.0,833.0,1023.0,850.0,192.0,79.0
1000.0,0.00316,4865.0,4271.0,948.0,4416.0,3882.0,832.0,1023.0,850.0,192.0,80.0
1000.0,0.0031609999999999997,4865.0,4271.0,948.0,4415.0,3883.0,832.0,1023.0,850.0,192.0,79.0
1000.0,0.003162,4864.0,4272.0,948.0,4415.0,3883.0,832.0,1023.0,850.0,192.0,78.0
1000.0,0.003163,4864.0,4272.0,948.0,4415.0,3883.0,832.0,1023.0,850.0,192.0,78.0
1000.0,0.0031639999999999997,4864.0,4272.0,948.0,4415.0,3883.0,832.0,1023.0,851.0,191.0,79.0
1000.0,0.003165,4864.0,4273.0,947.0,4415.0,3883.0,832.0,1023.0,851.0,191.0,80.0
1000.0,0.003166,4864.0,4273.0,947.0,4415.0,3883.0,832.0,1023.0,851.0,191.0,80.0
1000.0,0.0031669999999999997,4864.0,4273.0,947.0,4415.0,3883.0,832.0,1023.0,851.0,191.0,80.0
1000.0,0.003168,4864.0,4273.0,947.0,4414.0,3884.0,832.0,1023.0,851.0,191.0,79.0
1000.0,0.003169,4865.0,4272.0,947.0,4412.0,3886.0,832.0,1023.0,851.0,191.0,78.0
1000.0,0.0031699999999999996,4865.0,4272.0,947.0,4412.0,3886.0,832.0,1023.0,851.0,191.0,78.0
1000.0,0.0031709999999999998,4865.0,4272.0,947.0,4412.0,3886.0,832.0,1023.0,851.0,191.0,78.0
1000.0,0.003172,4864.0,4273.0,947.0,4412.0,3886.0,832.0,1023.0,851.0,191.0,77.0
1000.0,0.003173,4864.0,4273.0,947.0,4412.0,3886.0,832.0,1023.0,851.0,191.0,77.0
1000.0,0.0031739999999999997,4864.0,4273.0,947.0,4412.0,3885.0,833.0,1023.0,851.0,191.0,76.0
1000.0,0.003175,4864.0,4273.0,947.0,4412.0,3885.0,833.0,1023.0,851.0,191.0,76.0
1000.0,0.003176,4864.0,4273.0,947.0,4412.0,3886.0,832.0,1023.0,851.0,191.0,77.0
1000.0,0.0031769999999999997,4865.0,4272.0,947.0,4412.0,3886.0,832.0,1023.0,851.0,191.0,78.0
1000.0,0.003178,4865.0,4272.0,947.0,4412.0,3887.0,831.0,1023.0,851.0,191.0,79.0
1000.0,0.003179,4866.0,4271.0,947.0,4412.0,3887.0,831.0,1023.0,851.0,191.0,80.0
1000.0,0.0031799999999999997,4865.0,4271.0,948.0,4412.0,3887.0,831.0,1023.0,851.0,191.0,78.0
1000.0,0.003181,4865.0,4271.0,948.0,4412.0,3887.0,831.0,1023.0,851.0,191.0,78.0
1000.0,0.003182,4864.0,4272.0,948.0,4413.0,3886.0,831.0,1023.0,851.0,191.0,78.0
1000.0,0.003183,4864.0,4272.0,948.0,4413.0,3886.0,831.0,1023.0,851.0,191.0,78.0
1000.0,0.0031839999999999998,4864.0,4272.0,948.0,4413.0,3886.0,831.0,1023.0,851.0,191.0,78.0
1000.0,0.003185,4864.0,4272.0,948.0,4414.0,3884.0,832.0,1023.0,851.0,191.0,78.0
1000.0,0.003186,4863.0,4273.0,948.0,4414.0,3884.0,832.0,1023.0,851.0,191.0,77.0
1000.0,0.0031869999999999997,4864.0,4272.0,948.0,4414.0,3884.0,832.0,1023.0,851.0,191.0,78.0
1000.0,0.003188,4864.0,4271.0,949.0,4414.0,3884.0,832.0,1023.0,851.0,191.0,77.0
1000.0,0.003189,4864.0,4271.0,949.0,4414.0,3884.0,832.0,1023.0,851.0,191.0,77.0
1000.0,0.0031899999999999997,4864.0,4271.0,949.0,4414.0,3884.0,832.0,1023.0,851.0,191.0,77.0
